Operator,Test Command,Benchmark Command
GreaterEqual,python -m pytest tests/test_binary_pointwise_ops.py -m greater_equal -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m greater_equal -vs
GreaterOrEqual,python -m pytest tests/test_binary_pointwise_ops.py -m GreaterOrEqual -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m GreaterOrEqual -vs
GreaterThan,python -m pytest tests/test_binary_pointwise_ops.py -m greater -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m greater -vs
GroupNorm,CUDA_VISIBLE_DEVICES=3 /usr/bin/python3 -m pytest tests/test_norm_ops.py -m group_norm -vs,CUDA_VISIBLE_DEVICES=3 /usr/bin/python3 -m pytest benchmark/test_norm_perf.py -m group_norm -vs
GroupQueryAttention,python -m pytest tests/test_attention_ops.py -m group_query_attention -vs,python -m pytest benchmark/test_attention_perf.py -m group_query_attention -vs
Grouped_Query_Attention_GQA,python -m pytest tests/test_attention_ops.py -m Grouped_Query_Attention_GQA -vs,python -m pytest benchmark/test_attention_perf.py -m Grouped_Query_Attention_GQA -vs
If,python -m pytest tests/test_binary_pointwise_ops.py -m If -vs,python -m pytest benchmark/test_generic_pointwise_perf.py -m If -vs
InstanceNorm,python -m pytest tests/test_norm_ops.py -m instance_norm -vs,python -m pytest benchmark/test_norm_perf.py -m instance_norm -vs
KV_Cache_Update,python -m pytest tests/test_special_ops.py -m kv_cache_update -vs,python -m pytest benchmark/test_special_perf.py -m kv_cache_update -vs
L2Norm,python -m pytest tests/test_reduction_ops.py -m L2Norm -vs,python -m pytest benchmark/test_reduction_perf.py -m L2Norm -vs
LayerNorm+Dropout,python -m pytest tests/test_norm_ops.py -m layer_norm_dropout -vs,python -m pytest benchmark/test_norm_perf.py -m layer_norm_dropout -vs
LayerNorm+GeLU,python -m pytest tests/test_norm_ops.py -m layer_norm_gelu -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_norm_perf.py -m layer_norm_gelu -vs
LayerNorm,python -m pytest tests/test_norm_ops.py -m LayerNorm -vs,python -m pytest benchmark/test_norm_perf.py -m LayerNorm -vs
LayerNorm_Dropout,CUDA_VISIBLE_DEVICES=0 python -m pytest tests/test_norm_ops.py -m LayerNorm_Dropout -vs,CUDA_VISIBLE_DEVICES=0 python -m pytest benchmark/test_norm_perf.py -m LayerNorm_Dropout -vs
LeakyReLU,CUDA_VISIBLE_DEVICES=1 /usr/bin/python3 -m pytest tests/test_unary_pointwise_ops.py -m LeakyReLU -vs,CUDA_VISIBLE_DEVICES=1 /usr/bin/python3 -m pytest benchmark/test_unary_pointwise_perf.py -m LeakyReLU -vs
LessEqual,python -m pytest tests/test_binary_pointwise_ops.py -m less_equal -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m less_equal -vs
LessOrEqual,python -m pytest tests/test_binary_pointwise_ops.py -m LessOrEqual -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m LessOrEqual -vs
LessThan,CUDA_VISIBLE_DEVICES=3 python -m pytest tests/test_binary_pointwise_ops.py -m less -vs,CUDA_VISIBLE_DEVICES=3 python -m pytest benchmark/test_binary_pointwise_perf.py -m less -vs
Linear+GeLU+Linear,python -m pytest tests/test_special_ops.py -m linear_gelu_linear -vs,python -m pytest benchmark/test_special_perf.py -m linear_gelu_linear -vs
MatMulAdd,python -m pytest tests/test_blas_ops.py -m MatMulAdd -v,python -m pytest benchmark/test_blas_perf.py -m matmuladd -v
Matmul_Bias_Activation,python -m pytest tests/test_blas_ops.py -m matmul_bias_activation -vs,python -m pytest benchmark/test_blas_perf.py -m matmul_bias_activation -vs
Matmul_Bias_Residual,python -m pytest tests/test_blas_ops.py -m Matmul_Bias_Residual -vs,python -m pytest benchmark/test_blas_perf.py -m Matmul_Bias_Residual -vs
Matmul_Layer_Norm,python -m pytest tests/test_special_ops.py -m matmul_layernorm -vs,python -m pytest benchmark/test_special_perf.py -m matmul_layernorm -vs
MoE_Expert_Dispatch,python -m pytest tests/test_special_ops.py -m moe_expert_dispatch -vs,python -m pytest benchmark/test_special_perf.py -m moe_expert_dispatch -vs
MoE_Gate_TopK_Routing,python -m pytest tests/test_special_ops.py -m MoE_Gate_TopK_Routing -vs,python -m pytest benchmark/test_special_perf.py -m MoE_Gate_TopK_Routing -vs
MoE_Load_Balance_Loss,python -m pytest tests/test_special_ops.py -m moe_load_balance_loss -vs,python -m pytest benchmark/test_special_perf.py -m moe_load_balance_loss -vs
Mod,python -m pytest tests/test_binary_pointwise_ops.py -m remainder -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m remainder -vs
Multi_Head_Attention_MHA,python -m pytest tests/test_attention_ops.py -m multi_head_attention_mha -vs,python -m pytest benchmark/test_attention_perf.py -m multi_head_attention_mha -vs
Multi_Query_Attention_MQA,python -m pytest tests/test_attention_ops.py -m Multi_Query_Attention_MQA -vs,python -m pytest benchmark/test_attention_perf.py -m Multi_Query_Attention_MQA -vs
NLL_loss_backward,python -m pytest tests/test_reduction_ops.py -m nll_loss -vs,python -m pytest benchmark/test_reduction_perf.py -m nll_loss -vs
Not,python -m pytest tests/test_unary_pointwise_ops.py -m not_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m not_ -vs
Paged_Attention,python -m pytest tests/test_attention_ops.py -m Paged_Attention -vs,python -m pytest benchmark/test_attention_perf.py -m Paged_Attention -vs
Permute,python -m pytest tests/test_special_ops.py -m permute -vs,python -m pytest benchmark/test_generic_pointwise_perf.py -m permute -vs
Position_wise_FFN,python -m pytest tests/test_special_ops.py -m Position_wise_FFN -vs,python -c (simple benchmark script)
QKV_Projection_Fusion,CUDA_VISIBLE_DEVICES=2 /usr/bin/python3 -m pytest tests/test_special_ops.py -m qkv_projection_fusion -vs --ref cpu,CUDA_VISIBLE_DEVICES=2 /usr/bin/python3 -m pytest benchmark/test_special_perf.py -m qkv_projection_fusion -vs
rms_norm_linear,python -m pytest tests/test_norm_ops.py -m rms_norm_linear -vs,python -m pytest benchmark/test_fused_perf.py -m rms_norm_linear -vs
RMSNorm,python -m pytest tests/test_norm_ops.py -m 'RMSNorm or RMSNorm_' -vs,python -m pytest benchmark/test_norm_perf.py -m RMSNorm -vs
RMSNorm_Linear,python -m pytest tests/test_special_ops.py -m rms_norm_linear -vs,python -m pytest benchmark/test_special_perf.py -m rms_norm_linear -vs
Range,python -m pytest tests/test_special_ops.py -m range -vs,python -m pytest benchmark/test_tensor_constructor_perf.py -m range -vs
ReduceArgMax,python -m pytest tests/test_reduction_ops.py -m ReduceArgMax -vs,python -m pytest benchmark/test_reduction_perf.py -m ReduceArgMax -vs
ReduceArgMin,python -m pytest tests/test_reduction_ops.py -m ReduceArgMin -vs,python -m pytest benchmark/test_reduction_perf.py -m ReduceArgMin -vs
ReduceL2,python -m pytest tests/test_reduction_ops.py -m reduce_l2 -vs,python -m pytest benchmark/test_reduction_perf.py -m reduce_l2 -vs
ReduceLogSumExp,python -m pytest tests/test_reduction_ops.py -m logsumexp -vs,python -m pytest benchmark/test_reduction_perf.py -m logsumexp -vs
ReduceMax,python -m pytest tests/test_reduction_ops.py -m reduce_max -vs,python -m pytest benchmark/test_reduction_perf.py -m reduce_max -vs
ReduceMean,python -m pytest tests/test_general_reduction_ops.py -m ReduceMean -vs,python -m pytest benchmark/test_reduction_perf.py -m ReduceMean -vs
ReduceMin,python -m pytest tests/test_general_reduction_ops.py -m ReduceMin -vs,python -m pytest benchmark/test_reduction_perf.py -m ReduceMin -vs
ReduceNorm,python -m pytest tests/test_norm_ops.py -m reduce_norm -vs,python -m pytest benchmark/test_norm_perf.py -m reduce_norm -vs
