Operator,Test Command,Benchmark Command
_masked_scale,python -m pytest tests/test_binary_pointwise_ops.py -m masked_scale -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m masked_scale -vs
_native_batch_norm_legit,python -m pytest tests/test_norm_ops.py -m native_batch_norm_legit -vs,python -m pytest benchmark/test_norm_perf.py -m native_batch_norm_legit -vs
_native_batch_norm_legit_functional,python -m pytest tests/test_norm_ops.py -m native_batch_norm_legit_functional -vs,python -m pytest benchmark/test_norm_perf.py -m native_batch_norm_legit_functional -vs
_native_batch_norm_legit_no_training,python -m pytest tests/test_norm_ops.py -m native_batch_norm_legit_no_training -vs,python -m pytest benchmark/test_norm_perf.py -m native_batch_norm_legit_no_training -vs
_nested_tensor_from_tensor_list,python -m pytest tests/test_special_ops.py -m nested_tensor_from_tensor_list -vs,python -m pytest benchmark/test_special_perf.py -m nested_tensor_from_tensor_list -vs
_nested_view_from_buffer,python -m pytest tests/test_special_ops.py -m nested_view_from_buffer -vs,python -m pytest benchmark/test_special_perf.py -m nested_view_from_buffer -vs
nested_view_from_buffer_copy,python -m pytest tests/test_special_ops.py -m nested_view_from_buffer_copy -vs,python -m pytest benchmark/test_special_perf.py -m nested_view_from_buffer_copy -vs
_pack_padded_sequence,python -m pytest tests/test_special_ops.py -m pack_padded_sequence -vs,python -m pytest benchmark/test_special_perf.py -m pack_padded_sequence -vs
_padded_dense_to_jagged_forward,python -m pytest tests/test_special_ops.py -m padded_dense_to_jagged_forward -vs,python -m pytest benchmark/test_special_perf.py -m padded_dense_to_jagged_forward -vs
_pdist_backward,python -m pytest tests/test_special_ops.py -m pdist_backward -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m pdist_backward -vs
_pdist_forward,python -m pytest tests/test_special_ops.py -m pdist_forward -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m pdist_forward -vs
_pin_memory,python -m pytest tests/test_special_ops.py -m pin_memory -vs,python -m pytest benchmark/test_special_perf.py -m pin_memory -vs
_prelu_kernel,python -m pytest tests/test_binary_pointwise_ops.py -m prelu_kernel -vs && python -m pytest tests/test_binary_pointwise_ops.py -m prelu_kernel_ -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m prelu_kernel -vs
_prelu_kernel_backward,CUDA_VISIBLE_DEVICES=3 /usr/bin/python3 -m pytest tests/test_unary_pointwise_ops.py -m prelu_kernel_backward -vs,CUDA_VISIBLE_DEVICES=3 /usr/bin/python3 -m pytest benchmark/test_unary_pointwise_perf.py -m prelu_kernel_backward -vs
_reshape_alias,python -m pytest tests/test_special_ops.py -m reshape_alias -vs,python -m pytest benchmark/test_special_perf.py -m reshape_alias -vs
_resize_output,python -m pytest tests/test_special_ops.py -m 'resize_output or resize_output_' -vs,python -m pytest benchmark/test_special_perf.py -m resize_output -vs
_resize_output_,python -m pytest tests/test_special_ops.py -m resize_output -vs,N/A
_scaled_dot_product_attention_math_for_mps,python -m pytest tests/test_attention_ops.py -m scaled_dot_product_attention_math_for_mps -vs,Simple latency test with CUDA_VISIBLE_DEVICES=6
_scaled_dot_product_cudnn_attention_backward,python -m pytest tests/test_attention_ops.py -m scaled_dot_product_cudnn_attention_backward -vs,python -m pytest benchmark/test_attention_perf.py -m scaled_dot_product_cudnn_attention_backward -vs
_scaled_dot_product_efficient_attention,python -m pytest tests/test_attention_ops.py -m scaled_dot_product_efficient_attention -vs,python -m pytest benchmark/test_attention_perf.py -m scaled_dot_product_efficient_attention -vs
_scaled_dot_product_efficient_attention_backward,python -m pytest tests/test_special_ops.py -m scaled_dot_product_efficient_attention_backward -vs,python -m pytest benchmark/test_special_perf.py -m scaled_dot_product_efficient_attention_backward -vs
_scaled_dot_product_flash_attention_backward,python -m pytest tests/test_special_ops.py -m scaled_dot_product_flash_attention_backward -vs,python -m pytest benchmark/test_special_perf.py -m scaled_dot_product_flash_attention_backward -vs
_scaled_dot_product_flash_attention_for_cpu,python -m pytest tests/test_attention_ops.py -m scaled_dot_product_flash_attention_for_cpu -vs,python -m pytest benchmark/test_attention_perf.py -m scaled_dot_product_flash_attention_for_cpu -vs
_scaled_dot_product_flash_attention_for_cpu_backward,python -m pytest tests/test_attention_ops.py -m scaled_dot_product_flash_attention_for_cpu_backward -vs,python -m pytest benchmark/test_attention_perf.py -m scaled_dot_product_attention -vs
_scaled_dot_product_fused_attention_overrideable,python -m pytest tests/test_attention_ops.py -m scaled_dot_product_fused_attention_overrideable -vs,python -m pytest benchmark/test_attention_perf.py -m scaled_dot_product_fused_attention_overrideable -vs
_scaled_grouped_mm,python -m pytest tests/test_blas_ops.py -m scaled_grouped_mm -vs,python -m pytest benchmark/test_blas_perf.py -m scaled_grouped_mm -vs
_scaled_mm,python -m pytest tests/test_blas_ops.py -m scaled_mm -vs,python -m pytest benchmark/test_blas_perf.py -m scaled_mm -vs
_segment_reduce_backward,python -m pytest tests/test_special_ops.py -m segment_reduce_backward -vs,python -m pytest benchmark/test_special_perf.py -m segment_reduce_backward -vs
_sparse_coo_tensor_with_dims_and_tensors,python -m pytest tests/test_special_ops.py -m sparse_coo_tensor_with_dims_and_tensors -vs,python -m pytest benchmark/test_special_perf.py -m sparse_coo_tensor_with_dims_and_tensors -vs
_sparse_semi_structured_addmm,python -m pytest tests/test_blas_ops.py -m sparse_semi_structured_addmm -vs,python -m pytest benchmark/test_blas_perf.py -m sparse_semi_structured_addmm -vs
_sparse_semi_structured_linear,python -m pytest tests/test_special_ops.py -m sparse_semi_structured_linear -vs,python -m pytest benchmark/test_special_perf.py -m sparse_semi_structured_linear -vs
_sparse_semi_structured_mm,python -m pytest tests/test_special_ops.py::test_accuracy_sparse_semi_structured_mm -vs --log-cli-level=DEBUG,N/A - skipped due to environment limitation
_thnn_fused_lstm_cell,python -m pytest tests/test_special_ops.py -m thnn_fused_lstm_cell -vs,python -m pytest benchmark/test_special_perf.py -m thnn_fused_lstm_cell -vs
_thnn_fused_lstm_cell_backward_impl,python -m pytest tests/test_special_ops.py -m thnn_fused_lstm_cell_backward_impl -vs,python -m pytest benchmark/test_special_perf.py -m thnn_fused_lstm_cell_backward_impl -vs
_to_copy,python -m pytest tests/test_unary_pointwise_ops.py -m to_copy -vs,python -m pytest benchmark/test_unary_pointwise_perf.py::test_to_copy_perf -vs
_unsafe_index,python -m pytest tests/test_special_ops.py -m unsafe_index -vs,python -m pytest benchmark/test_special_perf.py -m unsafe_index -vs
_unsafe_index_put,python -m pytest tests/test_reduction_ops.py -m unsafe_index_put -vs,python -m pytest benchmark/test_select_and_slice_perf.py -m unsafe_index_put -vs
_unsafe_masked_index,python -m pytest tests/test_special_ops.py -m unsafe_masked_index -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m unsafe_masked_index -vs
_unsafe_masked_index_put_accumulate,python -m pytest tests/test_special_ops.py -m unsafe_masked_index_put_accumulate -vs,python -m pytest benchmark/test_special_perf.py -m unsafe_masked_index_put_accumulate -vs
_unsafe_view,python -m pytest tests/test_special_ops.py -m unsafe_view -vs,python -m pytest benchmark/test_special_perf.py -m unsafe_view -vs
_upsample_bicubic2d_aa_backward,python -m pytest tests/test_special_ops.py -m upsample_bicubic2d_aa_backward -vs,python -m pytest benchmark/test_special_perf.py -m upsample_bicubic2d_aa_backward -vs
_upsample_bilinear2d_aa,python -m pytest tests/test_special_ops.py -m upsample_bilinear2d_aa -vs,python -m pytest benchmark/test_special_perf.py -m upsample_bilinear2d_aa -vs
_upsample_bilinear2d_aa_backward,python -m pytest tests/test_special_ops.py -m upsample_bilinear2d_aa_backward -vs (tests commented out due to implementation issues),N/A - not implemented
_upsample_nearest_exact2d,python -m pytest tests/test_special_ops.py -m upsample_nearest_exact2d -vs,python -m pytest benchmark/test_special_perf.py -m upsample_nearest_exact2d -vs
_upsample_nearest_exact2d_backward,python -m pytest tests/test_special_ops.py -m upsample_nearest_exact2d_backward -vs,python -m pytest benchmark/test_special_perf.py -m upsample_nearest_exact2d_backward -vs
_upsample_nearest_exact3d,python -m pytest tests/test_special_ops.py -m upsample_nearest_exact3d -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m upsample_nearest_exact3d -vs
_weight_int4pack_mm,python -m pytest tests/test_special_ops.py -m weight_int4pack_mm -vs,Manual benchmark - PyTorch reference not available for this operator
_weight_int4pack_mm_for_cpu,python -m pytest tests/test_blas_ops.py -m weight_int4pack_mm -vs,N/A - pass-through implementation
_weight_int4pack_mm_with_scales_and_zeros,python -m pytest tests/test_blas_ops.py -m weight_int4pack_mm -vs,python -m pytest benchmark/test_blas_perf.py -m weight_int4pack_mm -vs
_weight_int8pack_mm,python -m pytest tests/test_special_ops.py -m weight_int8pack_mm -vs,python -m pytest benchmark/test_special_perf.py -m weight_int8pack_mm -vs
_weight_norm,python -m pytest tests/test_norm_ops.py -m weight_norm -vs,python -m pytest benchmark/test_norm_perf.py::test_weight_vector_norm_benchmark -vs
acos_,python -m pytest tests/test_unary_pointwise_ops.py -m acos_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m acos_ -vs
acosh,python -m pytest tests/test_unary_pointwise_ops.py -m acosh -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m acosh -vs
acosh_,python -m pytest tests/test_unary_pointwise_ops.py -m acosh_ -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m acosh_ -vs
adaptive_max_pool2d,python -m pytest tests/test_reduction_ops.py -m adaptive_max_pool2d -vs && python -m pytest tests/test_reduction_ops.py -m adaptive_max_pool2d_backward -vs,python -m pytest benchmark/test_reduction_perf.py -m adaptive_max_pool2d -vs
adaptive_max_pool3d,python -m pytest tests/test_reduction_ops.py -m adaptive_max_pool3d -vs,python -m pytest benchmark/test_reduction_perf.py -m adaptive_max_pool3d -vs
adaptive_max_pool3d_backward,python -m pytest tests/test_special_ops.py -m adaptive_max_pool3d_backward -vs,python -m pytest benchmark/test_special_perf.py -m adaptive_max_pool3d_backward -vs
addbmm,python -m pytest tests/test_blas_ops.py -m addbmm -vs,python -m pytest benchmark/test_blas_perf.py -m addbmm -vs
addbmm_,python -m pytest tests/test_blas_ops.py -m addbmm_ -vs && python -m pytest tests/test_blas_ops.py -m addbmm -vs,python -m pytest benchmark/test_blas_perf.py -m addbmm -vs
addcdiv_,python -m pytest tests/test_binary_pointwise_ops.py -m addcdiv_ -vs,python -m pytest benchmark/test_generic_pointwise_perf.py -m addcdiv_ -vs
addmm_,python -m pytest tests/test_blas_ops.py -m addmm_ -vs,python -m pytest benchmark/test_blas_perf.py -m addmm_ -vs
addmv,python -m pytest tests/test_blas_ops.py -m addmv -vs && python -m pytest tests/test_blas_ops.py -m addmv_out -vs,python -m pytest benchmark/test_blas_perf.py -m addmv -vs
addmv_,python -m pytest tests/test_blas_ops.py -m addmv_ -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_blas_perf.py -m addmv_ -vs
affine_grid_generator,python -m pytest tests/test_special_ops.py -m affine_grid_generator -vs,python -m pytest benchmark/test_special_perf.py -m affine_grid_generator -vs
alias,python -m pytest tests/test_unary_pointwise_ops.py -m alias -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m alias -vs
alpha_dropout,python -m pytest tests/test_special_ops.py -m alpha_dropout -vs,python -m pytest benchmark/test_distribution_perf.py -m alpha_dropout -vs
amin,python -m pytest tests/test_reduction_ops.py -m amin -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_reduction_perf.py -m amin -vs
aminmax,python -m pytest tests/test_reduction_ops.py -m aminmax -vs,python -m pytest benchmark/test_reduction_perf.py -m aminmax -vs
arccos,python -m pytest tests/test_unary_pointwise_ops.py -m arccos -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m arccos -vs
arccos_,python -m pytest tests/test_unary_pointwise_ops.py -m arccos_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m arccos_ -vs
arccosh_,python -m pytest tests/test_unary_pointwise_ops.py -m arccosh_ -vs && python -m pytest tests/test_unary_pointwise_ops.py -m arccosh__ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m arccosh_ -vs
arcsin,python -m pytest tests/test_unary_pointwise_ops.py -m arcsin -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m arcsin -vs
arcsin_,python -m pytest tests/test_unary_pointwise_ops.py -m arcsin_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m arcsin_ -vs
arctan,python -m pytest tests/test_unary_pointwise_ops.py -m arctan -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m arctan -vs
arctan2,python -m pytest tests/test_binary_pointwise_ops.py -m arctan2 -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m arctan2 -vs
arctan2_,python -m pytest tests/test_binary_pointwise_ops.py -m arctan2_ -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_binary_pointwise_perf.py -m arctan2_ -vs
arctan_,python -m pytest tests/test_unary_pointwise_ops.py -m arctan_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m arctan_ -vs
argsort,python -m pytest tests/test_special_ops.py -m argsort -vs,Manual benchmark (not added to benchmark file due to shape limitations)
as_strided,python -m pytest tests/test_special_ops.py -m "as_strided or as_strided_" -vs,python -m pytest benchmark/test_special_perf.py -m as_strided -vs
as_strided_,python -m pytest tests/test_special_ops.py -m as_strided_ -vs,python -m pytest benchmark/test_special_perf.py -m as_strided_ -vs
as_strided_copy,CUDA_VISIBLE_DEVICES=0 /usr/bin/python3 -m pytest tests/test_unary_pointwise_ops.py -m as_strided_copy -vs --log-cli-level=DEBUG,CUDA_VISIBLE_DEVICES=0 /usr/bin/python3 -m pytest benchmark/test_unary_pointwise_perf.py -m as_strided_copy -vs
as_strided_scatter,python -m pytest tests/test_special_ops.py -m as_strided_scatter -vs,python -m pytest benchmark/test_special_perf.py -m as_strided_scatter -vs
asin,python -m pytest tests/test_unary_pointwise_ops.py -m asin -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m asin -vs
asin_,python -m pytest tests/test_unary_pointwise_ops.py -m asin_ -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m asin_ -vs
asinh,python -m pytest tests/test_unary_pointwise_ops.py -m asinh -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m asinh -vs
atan2,python -m pytest tests/test_binary_pointwise_ops.py -m atan2 -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m atan2 -vs
atan2_,python -m pytest tests/test_binary_pointwise_ops.py -m atan2_ -vs && python -m pytest tests/test_binary_pointwise_ops.py -m atan2__ -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m atan2_ -vs
atanh,python -m pytest tests/test_unary_pointwise_ops.py -m atanh -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m atanh -vs
avg_pool3d,python -m pytest tests/test_reduction_ops.py -m avg_pool3d -vs && python -m pytest tests/test_reduction_ops.py -m avg_pool3d_bwd -vs,python -m pytest benchmark/test_reduction_perf.py -m avg_pool3d -vs
avg_pool3d_backward,python -m pytest tests/test_reduction_ops.py -m avg_pool3d_backward -vs,python -m pytest benchmark/test_reduction_perf.py -m avg_pool3d_backward -vs
baddbmm_,python -m pytest tests/test_blas_ops.py -m baddbmm_ -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_blas_perf.py -m baddbmm_ --level=core -vs
batch_norm_backward,python -m pytest benchmark/test_norm_perf.py -m batch_norm -vs,python -m pytest benchmark/test_norm_perf.py -m batch_norm -vs
bernoulli,python -m pytest tests/test_special_ops.py -m bernoulli -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_distribution_perf.py -m bernoulli -vs
binary_cross_entropy,python -m pytest tests/test_reduction_ops.py -m binary_cross_entropy -vs,python -m pytest benchmark/test_reduction_perf.py -m binary_cross_entropy -vs
binary_cross_entropy_backward,python -m pytest tests/test_special_ops.py -m binary_cross_entropy_backward -vs,python -m pytest benchmark/test_special_perf.py -m binary_cross_entropy_backward -vs
binary_cross_entropy_with_logits,python -m pytest tests/test_binary_pointwise_ops.py -m binary_cross_entropy_with_logits -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m binary_cross_entropy_with_logits -vs
bincount,python -m pytest tests/test_reduction_ops.py -m bincount -vs,python -m pytest benchmark/test_reduction_perf.py -m bincount -vs
bitwise_and,python -m pytest tests/test_binary_pointwise_ops.py -m bitwise_and -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m bitwise_and -vs
bitwise_left_shift_,python -m pytest tests/test_unary_pointwise_ops.py -m bitwise_left_shift -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m bitwise_left_shift -vs
bitwise_right_shift_,python -m pytest tests/test_unary_pointwise_ops.py -m bitwise_right_shift_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m bitwise_right_shift -vs
bitwise_xor,python -m pytest tests/test_binary_pointwise_ops.py -m bitwise_xor -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m bitwise_xor -vs
bitwise_xor_,python -m pytest tests/test_binary_pointwise_ops.py -m bitwise_xor -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m bitwise_xor -vs && python -m pytest benchmark/test_binary_pointwise_perf.py -m bitwise_xor_ -vs
broadcast_tensors,python -m pytest tests/test_special_ops.py -m broadcast_tensors -vs,python -m pytest benchmark/test_special_perf.py -m broadcast_tensors -vs
broadcast_to,python -m pytest tests/test_special_ops.py -m broadcast_to -vs,python -m pytest benchmark/test_special_perf.py -m broadcast_to -vs
bucketize,python -m pytest tests/test_binary_pointwise_ops.py -m bucketize -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m bucketize -vs
cat,python -m pytest tests/test_special_ops.py -m cat -vs,python -m pytest benchmark/test_tensor_concat_perf.py -m cat -vs
cauchy,python -m pytest tests/test_distribution_ops.py -m cauchy -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_distribution_perf.py -m cauchy -vs
cauchy_,python -m pytest tests/test_distribution_ops.py -m cauchy_ -vs,python -m pytest benchmark/test_distribution_perf.py -m cauchy_ -vs
ceil_,python -m pytest tests/test_unary_pointwise_ops.py -m ceil_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m ceil_ -vs
channel_shuffle,python -m pytest tests/test_special_ops.py -m channel_shuffle -vs,python -m pytest benchmark/test_special_perf.py -m channel_shuffle -vs
cholesky,python -m pytest tests/test_special_ops.py -m cholesky -vs,python -m pytest benchmark/test_special_perf.py -m cholesky -vs
cholesky_inverse,python -m pytest tests/test_blas_ops.py -m cholesky_inverse -k dtype1 -vs,python -m pytest benchmark/test_blas_perf.py -m cholesky_inverse -vs
cholesky_solve,python -m pytest tests/test_blas_ops.py -m cholesky_solve -vs,python -m pytest benchmark/test_blas_perf.py -m cholesky_solve -vs
clamp_max,python -m pytest tests/test_binary_pointwise_ops.py -m clamp_max -vs && python -m pytest tests/test_binary_pointwise_ops.py -m clamp_max_ -vs,python -m pytest benchmark/test_generic_pointwise_perf.py -m clamp_max -vs && python -m pytest benchmark/test_generic_pointwise_perf.py -m clamp_max_ -vs
clip_,python -m pytest tests/test_binary_pointwise_ops.py -m clip -vs,python -m pytest benchmark/test_generic_pointwise_perf.py -m clip -vs
clone,CUDA_VISIBLE_DEVICES=5 /usr/bin/python3 -m pytest tests/test_unary_pointwise_ops.py -m clone -vs,CUDA_VISIBLE_DEVICES=5 /usr/bin/python3 -m pytest benchmark/test_unary_pointwise_perf.py -m clone -vs
complex,python -m pytest tests/test_binary_pointwise_ops.py -m complex -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m complex -vs
conj,python -m pytest tests/test_unary_pointwise_ops.py -m conj -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m conj -vs
conj_physical,python -m pytest tests/test_special_ops.py -m conj_physical -vs,python -m pytest benchmark/test_special_perf.py -m conj_physical -vs
conj_physical_,python -m pytest tests/test_unary_pointwise_ops.py -m conj_physical_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m conj_physical_ -vs
convolution,python -m pytest tests/test_convolution_ops.py -m convolution -vs,python -m pytest benchmark/test_convolution_perf.py -m convolution -vs
convolution_backward,python -m pytest tests/test_special_ops.py -m convolution_backward -vs,python -m pytest benchmark/test_convolution_perf.py -m convolution_backward -vs
copy,CUDA_VISIBLE_DEVICES=5 /usr/bin/python3 -m pytest tests/test_binary_pointwise_ops.py -m 'copy or copy_' -vs --log-cli-level=DEBUG,CUDA_VISIBLE_DEVICES=5 /usr/bin/python3 -m pytest benchmark/test_binary_pointwise_perf.py -m 'copy or copy_' -vs
copysign,python -m pytest tests/test_binary_pointwise_ops.py -m copysign -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m copysign -vs
copysign_,python -m pytest tests/test_binary_pointwise_ops.py -m copysign_ -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_binary_pointwise_perf.py -m copysign_ -vs
cos,python -m pytest tests/test_unary_pointwise_ops.py -m cos -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m cos -vs
cosh,python -m pytest tests/test_unary_pointwise_ops.py -m cosh -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m cosh -vs
cross_attention,python -m pytest tests/test_special_ops.py -m cross_attention -vs,python -m pytest benchmark/test_attention_perf.py -m cross_attention -vs
cudnnActivateion,python -m pytest tests/test_unary_pointwise_ops.py -m cudnnActivateion -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m cudnnActivateion -vs
cudnnActivateionbwd,CUDA_VISIBLE_DEVICES=3 /usr/bin/python3 -m pytest tests/test_unary_pointwise_ops.py -m cudnnActivateionbwd -vs,CUDA_VISIBLE_DEVICES=3 /usr/bin/python3 -m pytest benchmark/test_unary_pointwise_perf.py -m cudnnActivateionbwd -vs
cudnn_batch_norm,python -m pytest tests/test_norm_ops.py -m cudnn_batch_norm -vs,python -m pytest benchmark/test_norm_perf.py -m cudnn_batch_norm -vs
cudnn_batch_norm_backward,python -m pytest tests/test_norm_ops.py -m cudnn_batch_norm_backward -vs,python -m pytest benchmark/test_norm_perf.py -m cudnn_batch_norm_backward -vs
cudnn_convolution,python -m pytest tests/test_convolution_ops.py -m cudnn_convolution -vs,python -m pytest benchmark/test_convolution_perf.py -m cudnn_convolution -vs
cudnn_convolution_transpose,python -m pytest tests/test_convolution_ops.py -m cudnn_convolution_transpose -vs,python -m pytest benchmark/test_convolution_perf.py -m cudnn_convolution_transpose -vs
cudnnconvbwd,python -m pytest tests/test_convolution_ops.py -m cudnnconvbwd -vs,python -m pytest benchmark/test_convolution_perf.py -m cudnnconvbwd -vs
cudnnconvfilter,python -m pytest tests/test_unary_pointwise_ops.py -m cudnnconvfilter -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m cudnnconvfilter -vs
cumprod,python -m pytest tests/test_reduction_ops.py -m cumprod -vs,python -m pytest benchmark/test_reduction_perf.py -m cumprod -vs
cumprod_,python -m pytest tests/test_reduction_ops.py -m cumprod_ -vs,python -m pytest benchmark/test_reduction_perf.py -m cumprod_ -vs
cumsum_,python -m pytest tests/test_reduction_ops.py -m cumsum_ -vs,python -m pytest benchmark/test_reduction_perf.py -m cumsum_ -vs
dequantize,python -m pytest tests/test_special_ops.py -m dequantize -vs,python -m pytest benchmark/test_special_perf.py -m dequantize -vs
detach,python -m pytest tests/test_unary_pointwise_ops.py -m detach -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m detach -vs
detach_,python -m pytest tests/test_unary_pointwise_ops.py -m detach_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m detach_ -vs
diagonal_copy,python -m pytest tests/test_special_ops.py -m diagonal_copy -vs,python -m pytest benchmark/test_special_perf.py -m diagonal_copy -vs
diagonal_scatter,python -m pytest tests/test_special_ops.py -m diagonal_scatter -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m diagonal_scatter -vs
diff,python -m pytest tests/test_special_ops.py -m diff -vs,python -m pytest benchmark/test_special_perf.py -m diff -vs
digamma,python -m pytest tests/test_unary_pointwise_ops.py -m digamma -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m digamma -vs && python -m pytest benchmark/test_unary_pointwise_perf.py -m digamma_ -vs
dist,python -m pytest tests/test_special_ops.py -m dist -vs,python -m pytest benchmark/test_special_perf.py -m dist -vs
div,python -m pytest tests/test_binary_pointwise_ops.py -k div -v,python -m pytest benchmark/test_binary_pointwise_perf.py -k div -v
divide,python -m pytest tests/test_binary_pointwise_ops.py -m divide -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m div -vs
embeddingSpMDM,python -m pytest tests/test_special_ops.py -m embeddingSpMDM -vs,python -m pytest benchmark/test_special_perf.py -m embeddingSpMDM -vs
embeddingSpMDMGrad,python -m pytest tests/test_special_ops.py -m embeddingSpMDMGrad -vs,python -m pytest benchmark/test_special_perf.py -m embeddingSpMDMGrad -vs
embedding_dense_backward,python -m pytest tests/test_special_ops.py -m embedding_dense_backward -vs,python -m pytest benchmark/test_special_perf.py -m embedding_dense_backward -vs
embedingBagCollection,python -m pytest tests/test_special_ops.py -m embedingBagCollection -vs,python -m pytest benchmark/test_special_perf.py -m embedingBagCollection -vs
empty,python -m pytest tests/test_special_ops.py -m empty -vs,python -m pytest benchmark/test_special_perf.py -m empty -vs
empty_like,python -m pytest tests/test_tensor_constructor_ops.py -m empty_like -vs,python -m pytest benchmark/test_tensor_constructor_perf.py -m empty_like -vs
empty_strided,python -m pytest tests/test_tensor_constructor_ops.py -m empty_strided -vs,python -m pytest benchmark/test_tensor_constructor_perf.py -m empty_strided -vs
eq,python -m pytest tests/test_binary_pointwise_ops.py -m eq -vs && python -m pytest tests/test_binary_pointwise_ops.py -m equal -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m eq -vs
erfc,python -m pytest tests/test_unary_pointwise_ops.py -m 'erfc or erfc_' -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m 'erfc or erfc_' -vs
erfc_,python -m pytest tests/test_unary_pointwise_ops.py -m 'erfc or erfc_' -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m 'erfc or erfc_' -vs
erfinv_,CUDA_VISIBLE_DEVICES=0 python -m pytest tests/test_unary_pointwise_ops.py -m 'erfinv or erfinv_' -vs,CUDA_VISIBLE_DEVICES=0 python -m pytest benchmark/test_unary_pointwise_perf.py -m 'erfinv or erfinv_' -vs
expand,python -m pytest tests/test_special_ops.py -m expand -vs,python -m pytest benchmark/test_special_perf.py -m expand -vs
expand_copy,python -m pytest tests/test_unary_pointwise_ops.py -m expand_copy -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m expand_copy -vs
expm1,python -m pytest tests/test_unary_pointwise_ops.py -m expm1 -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m 'expm1 or expm1_' -vs
expm1_,python -m pytest tests/test_unary_pointwise_ops.py -m expm1_ -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m expm1_ -vs
exponential,python -m pytest tests/test_distribution_ops.py -m exponential -vs,python -m pytest benchmark/test_distribution_perf.py -m exponential -vs
exponential_,python -m pytest tests/test_distribution_ops.py -m exponential_ -vs,python -m pytest benchmark/test_distribution_perf.py -m exponential_ -vs
feature_dropout,python -m pytest tests/test_special_ops.py -m feature_dropout -vs,python -m pytest benchmark/test_special_perf.py -m feature_dropout -vs
fft_fft,python -m pytest tests/test_special_ops.py -m fft_fft -vs,python -m pytest benchmark/test_special_perf.py -m fft_fft -vs
fft_fft2,python -m pytest tests/test_special_ops.py -m fft_fft2 -vs,python -m pytest benchmark/test_special_perf.py -m fft_fft2 -vs
